taxon	num_reads_raw1	num_reads_raw2	num_reads_clean1	num_reads_clean2	est_coverage_raw	est_coverage_clean	combined_mean_q_raw	r1_mean_q_raw	r2_mean_q_raw	combined_mean_readlength_raw	r1_mean_readlength_raw	r2_mean_readlength_raw	combined_mean_q_clean	r1_mean_q_clean	r2_mean_q_clean	combined_mean_readlength_clean	r1_mean_readlength_clean	r2_mean_readlength_clean	assembly_length_min	assembly_length_max	number_contigs	n50_value	quast_gc_percent_min	quast_gc_percent_max	busco_completeness
Aspergillus_terreus	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	27960000	31840000	1000	10000			95
Aspergillus_flavus	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	35090000	42930000	1000	10000			95
Aspergillus_fumigatus	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	27360000	33400000	1000	10000			95
Candida_albicans	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	11650000	18700000	1000	10000			95
Candida_auris	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	12100000	14250000	1000	10000	43	47	95
Candida_glabrata	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	11810000	14520000	1000	10000			95
Candida_parapsilosis	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	11570000	13330000	1000	10000			95
Candida_tropicalis	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	14350000	15730000	1000	10000			95
Clavispora_lusitaniae	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	11910000	12380000	1000	10000			95
Coccidioides_immitis	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	27470000	28950000	1000	10000			95
Cryptococcus_gattii_VGI	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	17230000	18370000	1000	10000			95
Cryptococcus_neoformans	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	17990000	19750000	1000	10000			95
Fusarium	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	26090000	72920000	1000	10000			95
Kluyveromyces_marxianus	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	9555000	13340000	1000	10000			95
Pichia_kudriavzevii	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	72470000	12940000	1000	10000			95
Yarrowia_lipolytica	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	19720000	21250000	1000	10000			95
Candida_haemuloni	1000000	1000000	1000000	1000000	30	30	30	30	30	135	135	135	30	30	30	135	135	135	12590000	13310000	1000	10000			95
