name	distance_threshold	COUNT(genome_annotations.taxon_id)
Agaricus bisporus	0.5276	13
Alternaria alternata	0.9863	2
Alternaria arborescens	0.4043	9
Alternaria arbusti	0.0001	2
Alternaria atra	0.1308	2
Alternaria burnsii	0.4183	3
Alternaria conjuncta	0.0003	2
Alternaria ethzedia	0.0065	2
Alternaria metachromatica	0.0012	2
Alternaria rosae	0.4421	2
Alternaria triticimaculans	0.0018	2
Amorphotheca resinae	0.4418	3
Annulohypoxylon truncatum	0.4156	2
Apiospora kogelbergensis	0.2373	2
Apiospora marii	0.1812	2
Apiotrichum porosum	0.3835	2
Aplosporella prunicola	0.0003	2
Arthrobotrys flagrans	0.0487	4
Arthroderma uncinatum	0.0001	2
Arxiozyma heterogenica	0.039	3
Ascochyta rabiei	0.0573	3
Ascoidea rubescens	0.0116	2
Aspergillus aculeatinus	0.0517	2
Aspergillus alliaceus	0.2762	4
Aspergillus brasiliensis	0.5382	5
Aspergillus chevalieri	0.1187	4
Aspergillus clavatus	0.0592	2
Aspergillus costaricensis	0.2648	0
Aspergillus fijiensis	0.1925	2
Aspergillus fischeri	0.1787	5
Aspergillus flavus	0	1
Aspergillus fumigatus	0	1
Aspergillus japonicus	0.2955	3
Aspergillus lentulus	0.2747	13
Aspergillus luchuensis	0.0523	12
Aspergillus nidulans	0.1425	17
Aspergillus niger	0	1
Aspergillus nomiae	0.1742	2
Aspergillus ochraceoroseus	0.0203	2
Aspergillus oryzae	0.2194	124
Aspergillus pseudonomiae	0.104	2
Aspergillus pseudotamarii	0.0021	2
Aspergillus puulaauensis	0.5679	2
Aspergillus ruber	0.1131	4
Aspergillus sydowii	0.3562	7
Aspergillus tanneri	0.0225	3
Aspergillus terreus	0	0
Aspergillus tubingensis	0.5569	18
Aspergillus udagawae	0.3645	6
Aspergillus uvarum	0.156	3
Aspergillus viridinutans	0.0274	2
Aspergillus welwitschiae	0.3957	6
Aspergillus wentii	0.04	2
Aureobasidium melanogenum	0.9864	2
Aureobasidium pullulans	0.9304	6
Aureobasidium subglaciale	0.8825	3
Australozyma saopauloensis	0.1679	2
Babjeviella inositovora	0.077	3
Batrachochytrium dendrobatidis	0.213	6
Beauveria bassiana	0.9819	2
Bipolaris maydis	0	1
Bipolaris oryzae	0.1256	3
Bipolaris sorokiniana	0.1592	10
Bipolaris victoriae	0.0037	2
Bipolaris zeicola	0.1334	4
Blastomyces dermatitidis	0.2547	6
Blastomyces gilchristii	0.1244	3
Botrytis cinerea	0.2921	56
Botrytis porri	0.033	2
Brettanomyces bruxellensis	0.578	14
Brettanomyces nanus	0.0073	2
Cadophora gregata	0.0513	2
Candida albicans	0.3949	107
Candida dubliniensis	0.0366	4
Candida jiufengensis	0.0122	2
Candida metapsilosis	0.6213	9
Candida orthopsilosis	0.6346	7
Candida oxycetoniae	0.0082	2
Candida parapsilosis	0.0302	38
Candida pseudojiufengensis	0.0135	2
Candida theae	0.2048	3
Candida tropicalis	0.4686	51
Candidozyma auris	0.4742	210
Candidozyma duobushaemuli	0.0156	3
Candidozyma haemuli	0	1
Candidozyma pseudohaemuli	0.4524	3
Cercospora beticola	0.1328	5
Cercospora kikuchii	0.0635	3
Chaetomium globosum	0.2095	9
Cladophialophora bantiana	0.0883	2
Cladophialophora carrionii	0.6505	2
Cladophialophora immunda	0.1433	2
Clavispora lusitaniae	0.6176	73
Coccidioides immitis	0.239	5
Coccidioides posadasii	0.3092	13
Cokeromyces recurvatus	0.0348	2
Colletotrichum abscissum	0.0437	2
Colletotrichum acutatum	0.574	2
Colletotrichum aenigma	0.3671	2
Colletotrichum chrysophilum	0.1197	4
Colletotrichum fioriniae	0.4187	18
Colletotrichum fructicola	0.1205	18
Colletotrichum gloeosporioides	0.4467	8
Colletotrichum godetiae	0.4592	2
Colletotrichum graminicola	0.183	22
Colletotrichum higginsianum	0.1728	4
Colletotrichum karsti	0.2363	2
Colletotrichum lupini	0.1517	2
Colletotrichum scovillei	0.3433	6
Colletotrichum siamense	0.5832	24
Colletotrichum truncatum	0.5949	6
Coprinopsis cinerea	0.1813	2
Cordyceps militaris	0.3267	3
Cryphonectria parasitica	0.0963	93
Cryptococcus amylolentus	0.0814	2
Cryptococcus bacillisporus	0.1603	2
Cryptococcus depauperatus	0.3971	2
Cryptococcus deuterogattii	0.1667	12
Cryptococcus gattii	0	1
Cryptococcus neoformans	0	0
Cryptococcus wingfieldii	0.0095	2
Cutaneotrichosporon cavernicola	0.0136	4
Cutaneotrichosporon oleaginosum	0.0079	4
Cyberlindnera jadinii	0.4568	10
Daldinia caldariorum	0.4386	2
Daldinia loculata	0.3374	2
Debaryomyces fabryi	0.0209	4
Debaryomyces hansenii	0.9488	7
Diaporthe amygdali	0.5319	4
Diaporthe citri	0.2463	4
Dichomitus squalens	0.4	4
Didymella exigua	0.0025	2
Dioszegia hungarica	0.2159	2
Diplodia seriata	0.4865	5
Dipodascopsis tothii	0.005	2
Diutina rugosa	0.0122	2
Drechmeria coniospora	0.1282	2
Drepanopeziza brunnea	0.0126	2
Encephalitozoon cuniculi	0.1121	6
Encephalitozoon hellem	0.4268	4
Encephalitozoon intestinalis	0.0151	2
Eremothecium gossypii	0.0283	2
Exophiala dermatitidis	0.4354	35
Exophiala oligosperma	0.5137	3
Exophiala spinifera	0	1
Exophiala viscosa	0.1404	2
Exophiala xenobiotica	0.9853	2
Exserohilum turcica	0.0087	0
Filobasidium floriforme	0.4288	2
Fonsecaea multimorphosa	0.0015	2
Fonsecaea pedrosoi	0.5015	2
Fulvia fulva	0.0695	18
Fusarium coffeatum	0.263	2
Fusarium falciforme	0.4626	7
Fusarium flagelliforme	0.2016	3
Fusarium fujikuroi	0	1
Fusarium graminearum	0.4338	128
Fusarium keratoplasticum	0.2108	2
Fusarium mangiferae	0.0704	2
Fusarium musae	0.2106	2
Fusarium odoratissimum	0.1139	7
Fusarium oxysporum	0.9738	4
Fusarium poae	0.2114	8
Fusarium proliferatum	0.85	3
Fusarium pseudograminearum	0.4944	5
Fusarium redolens	0.3249	5
Fusarium solani	0.8341	6
Fusarium subglutinans	0.1408	2
Fusarium vanettenii	0.3782	2
Fusarium venenatum	0.0658	4
Fusarium verticillioides	0.8499	3
Gamsiella multidivaricata	0.056	2
Geosmithia morbida	0.0002	2
Gilbertella persicaria	0.1607	2
Glarea lozoyensis	0.0014	2
Grosmannia clavigera	0.029	2
Henningerozyma blattae	0.009	2
Heterobasidion irregulare	0.6787	13
Hirsutella rhossiliensis	0.0318	2
Histoplasma capsulatum	0.6789	9
Hyphopichia burtonii	0.3198	5
Hypoxylon fragiforme	0.1293	2
Ilyonectria robusta	0.2713	5
Kazachstania africana	0.007	2
