Terra Task Name	Variable	Type	Description	Default Value	Terra Status	
	theiacov_fasta_batch	assembly_fastas	Array[File]	Genome assembly files in fasta format. Example: this.sars-cov-2-samples.assembly_fasta		Required
	theiacov_fasta_batch	bucket_name	String	The GCP bucket for the workspace where the TheiaCoV_FASTA_Batch output files are saved. We recommend using a unique GSURI for the bucket associated with your Terra workspace. The root GSURI is accessible in the Dashboard page of your workspace in the "Cloud Information" section.<br>Do not include the prefix gs:// in the string<br>Example: ""fc-c526190d-4332-409b-8086-be7e1af9a0b6/theiacov_fasta_batch-2024-04-15-seq-run-1/		Required
	theiacov_fasta_batch	project_name	String	The name of the Terra project where the data can be found. Example: "my-terra-project"		Required
	theiacov_fasta_batch	samplenames	Array[String]	The names of the samples to be analyzed. Example: this.sars-cov-2-samples.sars-cov-2-sample_id		Required
	theiacov_fasta_batch	table_name	String	The name of the Terra table where the data can be found. Example: "sars-cov-2-sample"		Required
	theiacov_fasta_batch	workspace_name	String	The name of the Terra workspace where the data can be found. Example "my-terra-workspace"		Required
	cat_files_fasta	cpu	Int	Number of CPUs to allocate to the task	2	Optional
	cat_files_fasta	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional
	cat_files_fasta	docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/utility:1.1	Optional
	cat_files_fasta	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional
	nextclade_v3	auspice_reference_tree_json	File	The phylogenetic reference tree which serves as a target for phylogenetic placement	default is inherited from NextClade dataset	Optional
	nextclade_v3	cpu	Int	Number of CPUs to allocate to the task	2	Optional
	nextclade_v3	disk_size	Int	Amount of storage (in GB) to allocate to the task	50	Optional
	nextclade_v3	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/nextstrain/nextclade:3.10.2	Optional
	nextclade_v3	gene_annotations_gff	File	A genome annotation to specify how to translate the nucleotide sequence to proteins (genome_annotation.gff3). specifying this enables codon-informed alignment and protein alignments. See here for more info: https://docs.nextstrain.org/projects/nextclade/en/latest/user/input-files/03-genome-annotation.html	None	Optional
	nextclade_v3	input_ref	File	A nucleotide sequence which serves as a reference for the pairwise alignment of all input sequences. This is also the sequence which defines the coordinate system of the genome annotation. See here for more info: https://docs.nextstrain.org/projects/nextclade/en/latest/user/input-files/02-reference-sequence.html	None	Optional
	nextclade_v3	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	4	Optional
	nextclade_v3	nextclade_pathogen_json	File	General dataset configuration file. See here for more info: https://docs.nextstrain.org/projects/nextclade/en/latest/user/input-files/05-pathogen-config.html	None	Optional
	nextclade_v3	verbosity	String	other options are: "off" , "error" , "info" , "debug" , and "trace"  (highest level of verbosity)	warn	Optional
	organism_parameters	flu_segment	String			Optional
	organism_parameters	flu_subtype	String			Optional
	organism_parameters	gene_locations_bed_file	File			Optional
	organism_parameters	genome_length_input	Int			Optional
	organism_parameters	hiv_primer_version	String			Optional
	organism_parameters	kraken_target_organism_input	String			Optional
	organism_parameters	primer_bed_file	File			Optional
	organism_parameters	reference_genome	File			Optional
	organism_parameters	reference_gff_file	File			Optional
	organism_parameters	vadr_max_length	Int			Optional
	organism_parameters	vadr_mem	Int			Optional
	organism_parameters	vadr_options	String			Optional
	pangolin4	analysis_mode	String	Used to switch between usher and pangolearn analysis modes. Only use usher because pangolearn is no longer supported as of Pangolin v4.3 and higher versions.	None	Optional
	pangolin4	cpu	Int	Number of CPUs to allocate to the task	4	Optional
	pangolin4	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional
	pangolin4	expanded_lineage	Boolean	True/False that determines if a lineage should be expanded without aliases (e.g., BA.1 → B.1.1.529.1)	TRUE	Optional
	pangolin4	max_ambig	Float	The maximum proportion of Ns allowed for pangolin to attempt an assignment	0.5	Optional
	pangolin4	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional
	pangolin4	skip_designation_cache	Boolean	True/False that determines if the designation cache should be used	FALSE	Optional
	pangolin4	skip_scorpio	Boolean	True/False that determines if scorpio should be skipped.	FALSE	Optional
	sm_theiacov_fasta_wrangling	cpu	Int	Number of CPUs to allocate to the task	8	Optional
	sm_theiacov_fasta_wrangling	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional
	sm_theiacov_fasta_wrangling	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/terra-tools:2023-08-28-v4	Optional
	sm_theiacov_fasta_wrangling	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	4	Optional
	theiacov_fasta_batch	nextclade_dataset_name	String	Nextclade organism dataset name. Options: "nextstrain/sars-cov-2/wuhan-hu-1/orfs" However, if organism input is set correctly, this input will be automatically assigned the corresponding dataset name.	sars-cov-2	Optional
	theiacov_fasta_batch	nextclade_dataset_tag	String	Nextclade dataset tag. Used for pulling up-to-date reference genomes and associated information specific to nextclade datasets (QC thresholds, organism-specific information like SARS-CoV-2 clade & lineage information, etc.) that is required for running the Nextclade tool.	2024-06-13--23-42-47Z	Optional
	theiacov_fasta_batch	organism	String	The organism that is being analyzed. Options: "sars-cov-2"	sars-cov-2	Optional
	theiacov_fasta_batch	pangolin_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/pangolin:4.3.1-pdata-1.33	Optional
	version_capture	docker	String	The Docker container to use for the task	"us-docker.pkg.dev/general-theiagen/theiagen/alpine-plus-bash:3.20.0"	Optional
	version_capture	timezone	String	Set the time zone to get an accurate date of analysis (uses UTC by default)		Optional
