Terra Task Name	Variable	Type	Description	Default Value	Terra Status	Workflow	Organism
theiacov_clearlabs	primer_bed	File	The bed file containing the primers used when sequencing was performed		Required	CL	sars-cov-2
theiacov_clearlabs	read1	File	Read data produced by the Clear Dx platform from ClearLabs		Required	CL	sars-cov-2
theiacov_fasta	assembly_fasta	File	Input assembly FASTA file		Required	FASTA	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
theiacov_fasta	input_assembly_method	String	Method used to generate the assembly file		Required	FASTA	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
theiacov_illumina_pe	read1	File	Forward Illumina read in FASTQ file format (compression optional)		Required	PE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
theiacov_illumina_pe	read2	File	Reverse Illumina read in FASTQ file format (compression optional)		Required	PE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
theiacov_illumina_se	read1	File	Forward Illumina read in FASTQ file format (compression optional)		Required	SE	MPXV, WNV, sars-cov-2
theiacov_ont	read1	File	Demultiplexed ONT read in FASTQ file format (compression optional)		Required	ONT	HIV, MPXV, WNV, flu, sars-cov-2
workflow name	samplename	String	Name of the sample being analyzed		Required	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	seq_method	String	The sequencing methodology used to generate the input read data		Required	FASTA	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
clean_check_reads	cpu	Int	Number of CPUs to allocate to the task	2	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
clean_check_reads	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
clean_check_reads	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/bactopia/gather_samples:2.0.2	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
clean_check_reads	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
consensus	cpu	Int	Number of CPUs to allocate to the task	8	Optional	CL, ONT	sars-cov-2
consensus	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	CL, ONT	sars-cov-2
consensus	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/artic-ncov2019-epi2me	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
consensus	medaka_model	String	In order to obtain the best results, the appropriate model must be set to match the sequencer's basecaller model; this string takes the format of {pore}_{device}_{caller variant}_{caller_version}. See also <https://github.com/nanoporetech/medaka?tab=readme-ov-file#models>.	r941_min_high_g360	Optional	CL, ONT	sars-cov-2
consensus	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	16	Optional	CL, ONT	sars-cov-2
consensus_qc	cpu	Int	Number of CPUs to allocate to the task	1	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
consensus_qc	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
consensus_qc	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/utility:1.1	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
consensus_qc	genome_length	Int	Internal component, do not modify		Do not modify, Optional	CL, SE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
consensus_qc	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
fastq_scan_clean_reads	cpu	Int	Number of CPUs to allocate to the task	1	Optional	CL	sars-cov-2
fastq_scan_clean_reads	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	CL	sars-cov-2
fastq_scan_clean_reads	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/utility:1.1	Optional	CL	sars-cov-2
fastq_scan_clean_reads	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	CL	sars-cov-2
fastq_scan_clean_reads	read1_name	Int	Internal component, do not modify		Do not modify, Optional	CL	sars-cov-2
fastq_scan_raw_reads	cpu	Int	Number of CPUs to allocate to the task	1	Optional	CL	sars-cov-2
fastq_scan_raw_reads	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	CL	sars-cov-2
fastq_scan_raw_reads	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/utility:1.1	Optional	CL	sars-cov-2
fastq_scan_raw_reads	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	CL	sars-cov-2
fastq_scan_raw_reads	read1_name	Int	Internal component, do not modify		Do not modify, Optional	CL	sars-cov-2
flu_track	abricate_flu_cpu	Int	Number of CPUs to allocate to the task	2	Optional	FASTA, ONT, PE	flu
flu_track	abricate_flu_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	FASTA, ONT, PE	flu
flu_track	abricate_flu_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/abricate:1.0.1-insaflu-220727	Optional	FASTA, ONT, PE	flu
flu_track	abricate_flu_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	4	Optional	FASTA, ONT, PE	flu
flu_track	abricate_flu_min_percent_coverage	Int	Minimum DNA % coverage	60	Optional	FASTA, ONT, PE	flu
flu_track	abricate_flu_min_percent_identity	Int	Minimum DNA % identity	70	Optional	FASTA, ONT, PE	flu
flu_track	antiviral_aa_subs	String	Additional list of antiviral resistance associated amino acid substitutions of interest to be searched against those called on the sample segments. They take the format of <protein>:<AA><Pos><AA>, e.g. NA:A26V		Optional	ONT, PE	flu
flu_track	assembly_metrics_cpu	Int	Number of CPUs to allocate to the task	2	Optional	PE	flu
flu_track	assembly_metrics_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	PE	flu
flu_track	assembly_metrics_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/samtools:1.15	Optional	PE	flu
flu_track	assembly_metrics_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	PE	flu
flu_track	flu_h1_ha_ref	File	Internal component, do not modify		Do not modify, Optional	ONT, PE	flu
flu_track	flu_h1n1_m2_ref	File	Internal component, do not modify		Do not modify, Optional	ONT, PE	flu
flu_track	flu_h3_ha_ref	File	Internal component, do not modify		Do not modify, Optional	ONT, PE	flu
flu_track	flu_h3n2_m2_ref	File	Internal component, do not modify		Do not modify, Optional	ONT, PE	flu
flu_track	flu_n1_na_ref	File	Internal component, do not modify		Do not modify, Optional	ONT, PE	flu
flu_track	flu_n2_na_ref	File	Internal component, do not modify		Do not modify, Optional	ONT, PE	flu
flu_track	flu_pa_ref	File	Internal component, do not modify		Do not modify, Optional	ONT, PE	flu
flu_track	flu_pb1_ref	File	Internal component, do not modify		Do not modify, Optional	ONT, PE	flu
flu_track	flu_pb2_ref	File	Internal component, do not modify		Do not modify, Optional	ONT, PE	flu
flu_track	flu_subtype	String	The influenza subtype being analyzed. Used for picking nextclade datasets. Options: "Yamagata", "Victoria", "H1N1", "H3N2", "H5N1". Only use to override the subtype call from IRMA and ABRicate.		Optional	CL, ONT, PE, SE	flu
flu_track	genoflu_cpu	Int	Number of CPUs to allocate to the task	1	Optional	FASTA, ONT, PE	flu
