Variable	Type	Description	Workflow
abricate_flu_database	String	ABRicate database used for analysis	FASTA, ONT, PE
abricate_flu_results	File	File containing all results from ABRicate	FASTA, ONT, PE
abricate_flu_subtype	String	Flu subtype as determined by ABRicate	FASTA, ONT, PE
abricate_flu_type	String	Flu type as determined by ABRicate	FASTA, ONT, PE
abricate_flu_version	String	Version of ABRicate	FASTA, ONT, PE
aligned_bai	File	Index companion file to the bam file generated during the consensus assembly process	CL, ONT, PE, SE
aligned_bam	File	Primer-trimmed BAM file; generated during consensus assembly process	CL, ONT, PE, SE
artic_docker	String	Docker image utilized for read trimming and consensus genome assembly	CL, ONT
artic_version	String	Version of the Artic software utilized for read trimming and conesnsus genome assembly	CL, ONT
assembly_fasta	File	Consensus genome assembly; for lower quality flu samples, the output may state "Assembly could not be generated" when there is too little and/or too low quality data for IRMA to produce an assembly. Contigs will be ordered from largest to smallest when IRMA is used.	CL, ONT, PE, SE
assembly_length_unambiguous	Int	Number of unambiguous basecalls within the consensus assembly	CL, FASTA, ONT, PE, SE
assembly_mean_coverage	Float	Mean sequencing depth throughout the consensus assembly. Generated after performing primer trimming and calculated using the SAMtools coverage command	CL, ONT, PE, SE
assembly_method	String	Method employed to generate consensus assembly	CL, FASTA, ONT, PE, SE
auspice_json	File	Auspice-compatable JSON output generated from Nextclade analysis that includes the Nextclade default samples for clade-typing and the single sample placed on this tree	CL, FASTA, ONT, PE, SE
auspice_json_flu_ha	File	Auspice-compatable JSON output generated from Nextclade analysis on Influenza HA segment that includes the Nextclade default samples for clade-typing and the single sample placed on this tree	ONT, PE
auspice_json_flu_na	File	Auspice-compatable JSON output generated from Nextclade analysis on Influenza NA segment that includes the Nextclade default samples for clade-typing and the single sample placed on this tree	ONT, PE
auspice_json_flu_h5n1	File	Auspice-compatable JSON output generated from Nextclade analysis on Influenza H5N1 whole genome that includes the samples included in the "avian-flu/h5n1-cattle-outbreak" nextstrain build that is focused on B3.13 genotype and the single sample placed on this tree	ONT, PE
bbduk_docker	String	Docker image used to run BBDuk	PE, SE
bwa_version	String	Version of BWA used to map read data to the reference genome	PE, SE
consensus_flagstat	File	Output from the SAMtools flagstat command to assess quality of the alignment file (BAM)	CL, ONT, PE, SE
consensus_n_variant_min_depth	Int	Minimum read depth to call variants for iVar consensus and iVar variants. Also represents the minimum consensus support threshold used by IRMA with Illumina Influenza data.	PE, SE
consensus_stats	File	Output from the SAMtools stats command to assess quality of the alignment file (BAM)	CL, ONT, PE, SE
est_coverage_clean	Float	Estimated coverage of the clean reads	ONT
est_coverage_raw	Float	Estimated coverage of the raw reads	ONT
est_percent_gene_coverage_tsv	File	Percent coverage for each gene in the organism being analyzed (depending on the organism input)	CL, ONT, PE, SE
fastp_html_report	File	HTML report for fastp	PE, SE
fastp_version	String	Fastp version used	PE, SE
fastq_scan_clean1_json	File	JSON file output from `fastq-scan` containing summary stats about clean forward read quality and length	PE, SE, CL
fastq_scan_clean2_json	File	JSON file output from `fastq-scan` containing summary stats about clean reverse read quality and length	PE
fastq_scan_num_reads_clean_pairs	String	Number of paired reads after filtering as determined by fastq_scan	PE
fastq_scan_num_reads_clean1	Int	Number of forward reads after filtering as determined by fastq_scan	CL, PE, SE
fastq_scan_num_reads_clean2	Int	Number of reverse reads after filtering as determined by fastq_scan	PE
fastq_scan_num_reads_raw_pairs	String	Number of paired reads identified in the input fastq files as determined by fastq_scan	PE
fastq_scan_num_reads_raw1	Int	Number of forward reads identified in the input fastq files as determined by fastq_scan	CL, PE, SE
fastq_scan_num_reads_raw2	Int	Number of reverse reads identified in the input fastq files as determined by fastq_scan	PE
fastq_scan_r1_mean_q_clean	Float	Forward read mean quality value after quality trimming and adapter removal	
fastq_scan_r1_mean_q_raw	Float	Forward read mean quality value before quality trimming and adapter removal	
fastq_scan_r1_mean_readlength_clean	Float	Forward read mean read length value after quality trimming and adapter removal	
fastq_scan_r1_mean_readlength_raw	Float	Forward read mean read length value before quality trimming and adapter removal	
fastq_scan_raw1_json	File	JSON file output from `fastq-scan` containing summary stats about raw forward read quality and length	PE, SE, CL
fastq_scan_raw2_json	File	JSON file output from `fastq-scan` containing summary stats about raw reverse read quality and length	PE
fastq_scan_version	String	Version of fastq_scan used for read QC analysis	CL, PE, SE
fastqc_clean1_html	File	Graphical visualization of clean forward read quality from fastqc to open in an internet browser	PE, SE
fastqc_clean2_html	File	Graphical visualization of clean reverse read quality  from fastqc to open in an internet browser	PE
fastqc_docker	String	Docker container used for fastqc	PE, SE
fastqc_num_reads_clean_pairs	String	Number of read pairs after cleaning by fastqc	PE
fastqc_num_reads_clean1	Int	Number of forward reads after cleaning by fastqc	PE, SE
fastqc_num_reads_clean2	Int	Number of reverse reads after cleaning by fastqc	PE
fastqc_num_reads_raw_pairs	Int	Number of raw read pairs as computed by fastqc	PE
