Taxon name	Taxon ID	Species Name	Genome Length
Bourbon virus	2956523	Thogotovirus bourbonense	10560
Chikungunya virus	3426298	Alphavirus chikungunya	11547
Colorado tick fever virus	3428066	Coltivirus dermacentoris	29174
Dengue virus	3052464	Orthoflavivirus denguei	10770
Heartland virus	3051992	Bandavirus heartlandense	11540
Mayaro virus	3426306	Alphavirus mayaro	11411
Onyong-nyong virus	3426312	Alphavirus onyong	11827
Oropouche virus	3052429	Orthobunyavirus oropoucheense	11985
Punta Toro virus	3052684	Phlebovirus toroense	12634
Ross River virus	3426314	Alphavirus rossriver	11802
Sandfly fever Sicilian virus	3052681	Phlebovirus siciliaense	NA
Semliki Forest virus	3426317	Alphavirus semliki	11341
Sindbis virus	3426318	Alphavirus sindbis	11671
Tacheng tick virus 2	3052808	Uukuvirus tachengense	8844
Usutu virus	3048443	Orthoflavivirus usutuense	11066
West Nile virus	3048448	Orthoflavivirus nilense	10942
Zika virus	3048459	Orthoflavivirus zikaense	10874
Adeno-associated virus 2	1511891	Dependoparvovirus primate1	4679
Hepatitis A virus	3407641	Hepatovirus ahepa	7446
Hepatitis B virus	3431302	Orthohepadnavirus hominoidei	3192
Hepatitis C virus	3052230	Hepacivirus hominis	9431
Hepatitis D virus	2844074	Deltavirus italiense	1680
Hepatitis E virus	291484	Hepatitis E virus	7499
Human immunodeficiency virus 1	3418650	Lentivirus humimdef1	9388
Human immunodeficiency virus 2	3418651	Lentivirus humimdef2	10059
Torque teno virus	68887	Torque teno virus	3428
Andes virus	1980456	Orthohantavirus andesense	7735
Araucaria virus	308159	Araucaria virus	NA
Bayou virus	3052470	Orthohantavirus bayoui	10861
Black Creek Canal virus	3052490	Orthohantavirus nigrorivense	6067
Choclo virus	3052474	Orthohantavirus chocloense	7844
Isla Vista virus	42097	Isla Vista hantavirus	NA
Laguna Negra virus	3431295	Orthohantavirus mamorense	7799
Maporal virus	3052485	Orthohantavirus maporalense	12106
Monongahela hantavirus	2259728	Monongahela hantavirus	12314
Muleshoe virus	47301	Muleshoe hantavirus	NA
Sangassou virus	3052496	Orthohantavirus sangassouense	11928
Sin nombre virus	3052499	Orthohantavirus sinnombreense	10583
Australian bat lyssavirus	90961	Lyssavirus australis	11822
Cache Valley virus	3052385	Orthobunyavirus cacheense	12283
California encephalitis virus	3052390	Orthobunyavirus encephalitidis	12466
Cedar virus	3052221	Henipavirus cedarense	18162
Duvenhage virus	38767	Lyssavirus duvenhage	11976
Eastern equine encephalitis virus	3426299	Alphavirus eastern	11675
European bat lyssavirus	38768	European bat lyssavirus	11935
Ghana virus	3052222	Henipavirus ghanaense	18530
Hendra virus	3052223	Henipavirus hendraense	18234
Jamestown Canyon virus	3052402	Orthobunyavirus jamestownense	NA
Japanese encephalitis virus	3048158	Orthoflavivirus japonicum	10976
La Crosse virus	3052409	Orthobunyavirus lacrosseense	12490
Lagos bat virus	38766	Lyssavirus lagos	12016
Langya virus	3431360	Parahenipavirus langyaense	18402
Mojiang virus	3052224	Parahenipavirus mojiangense	18406
Mokola virus	12538	Lyssavirus mokola	11940
Murray Valley encephalitis virus	3048215	Orthoflavivirus murrayense	7012
Nipah virus	3052225	Henipavirus nipahense	18248
Powassan virus	3048287	Orthoflavivirus powassanense	10826
Rabies virus	11292	Lyssavirus rabies	11927
Snowshoe hare virus	3052407	Orthobunyavirus khatangaense	12208
St. Louis encephalitis virus	3052468	Orthoflavivirus louisense	10940
