Terra Task Name	Variable	Type	Description	Default Value	Terra Status	Workflow	Classification
amr_search_workflow	amr_search_database	String	NCBI taxon code of samples known taxonomy, see above supported species		Required	AMR_Search	general
amr_search_workflow	input_fasta	File	A microbial assembly file		Required	AMR_Search	general
amr_search_workflow	samplename	String	The name of the sample being analyzed		Required	AMR_Search	general
amrfinderplus_wf	assembly	File	The assembly file for your sample in FASTA format		Required	AMRFinderPlus	general
amrfinderplus_wf	samplename	String	The name of the sample being analyzed		Required	AMRFinderPlus	general
assembly_fetch	samplename	String	The name of the sample being analyzed		Required	Assembly_Fetch	general
augur	assembly_fastas	Array[File]+	The assembly files for your samples in FASTA format		Required	Augur	general
augur	build_name	String	Name to give to the Augur build		Required	Augur	general
augur_prep	assembly	File	The assembly file for your sample in FASTA format		Required	Augur_Prep	general
basespace_fetch	access_token	String	The access token is used in place of a username and password to allow the workflow to access the user account in BaseSpace from which the data is to be transferred. It is an alphanumeric string that is 32 characters in length. Example: 9e08a96471df44579b72abf277e113b7		Required	BaseSpace_Fetch	general
basespace_fetch	basespace_collection_id	String	The collection ID is the BaseSpace Run or Project where the data to be transferred is stored.		Required	BaseSpace_Fetch	general
basespace_fetch	basespace_sample_name	String	The BaseSpace sample name is the sample identifier used in BaseSpace. This identifier is set on the sample sheet at the onset of an Illumina sequencing run.		Required	BaseSpace_Fetch	general
basespace_fetch	sample_name	String	The sample name is the sample identifier used in the Terra.bio data table corresponding to the metadata associated with the sample to be transferred from BaseSpace		Required	BaseSpace_Fetch	general
cauris_cladetyper	assembly_fasta	File	The assembly file for your sample in FASTA format		Required	Cauris_CladeTyper	general
cauris_cladetyper	samplename	String	The name of the sample being analyzed		Required	Cauris_CladeTyper	general
clair3_variants_ont	read1	File	ONT read file in FASTQ file format (compression optional)		Required	Clair3_Variants_ONT	general
clair3_variants_ont	reference_genome_file	File	Reference genome in FASTA format		Required	Clair3_Variants_ONT	general
clair3_variants_ont	samplename	String	The name of the sample being analyzed		Required	Clair3_Variants_ONT	general
