Name	Description	Applicable Kingdom	Workflow Level	Workflow Type	Command-line Compatibility	Last Known Changes	Dockstore
[**AMR_Search**](../workflows/standalone/amr_search.md)	Perform AMR profiling on microbial assemblies mimicing Pathogenwatch	Any taxa	Sample-level	Standalone	Yes	v3.0.1	[AMR_Search_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/AMR_Search_PHB:fc-amr-search-dev?tab=info)
[**Assembly_Fetch**](../workflows/data_import/assembly_fetch.md)	Download assemblies from NCBI, after optionally identifying the closest RefSeq reference genome to your own draft assembly	Any taxa	Sample-level	Data Import	Yes	v3.0.0	[Assembly_Fetch_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Assembly_Fetch_PHB:main?tab=info)
[**Augur**](../workflows/phylogenetic_construction/augur.md)	Phylogenetic analysis for viral pathogens	Viral	Sample-level, Set-level	Phylogenetic Construction	Yes	v3.0.0	[Augur_Prep_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Augur_Prep_PHB:main?tab=info), [Augur_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Augur_PHB:main?tab=info)
[**BaseSpace_Fetch**](../workflows/data_import/basespace_fetch.md)	Import data from BaseSpace into Terra	Any taxa	Sample-level	Data Import	Yes	v2.0.0	[BaseSpace_Fetch_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/BaseSpace_Fetch_PHB:main?tab=info)
[**Cauris_CladeTyper**](../workflows/standalone/cauris_cladetyper.md)	C. auris clade assignment	Mycotics	Sample-level	Standalone	Yes	v3.0.0	[Cauris_CladeTyper_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Cauris_CladeTyper_PHB:main?tab=info)
[**Clair3_Variants**](../workflows/phylogenetic_construction/clair3_variants.md)	ONT Variant Caller	Any taxa	Sample-level	Phylogenetic Construction	Yes	v3.0.0	[Clair3_Variants_ONT_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Clair3_Variants_ONT_PHB:main?tab=info)
[**Concatenate_Column_Content**](../workflows/data_export/concatenate_column_content.md)	Concatenate contents of a specified Terra data table column for many samples ("entities")	Any taxa	Set-level	Exporting Data from Terra	Yes	v2.1.0	[Concatenate_Column_Content_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Concatenate_Column_Content_PHB:main?tab=info)
[**Concatenate_Illumina_Lanes**](../workflows/standalone/concatenate_illumina_lanes.md)	Concatenate Illumina lanes for a single sample	Any taxa	Sample-level	Standalone	Yes	v2.3.0	[Concatenate_Illumina_Lanes_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Concatenate_Illumina_Lanes_PHB:main?tab=info)
[**Core_Gene_SNP**](../workflows/phylogenetic_construction/core_gene_snp.md)	Pangenome analysis	Bacteria	Set-level	Phylogenetic Construction	Some optional features incompatible, Yes	v3.0.0	[Core_Gene_SNP_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Core_Gene_SNP_PHB:main?tab=info)
[**Create_Terra_Table**](../workflows/data_import/create_terra_table.md)	Upload data to Terra and then run this workflow to have the table automatically created	Any taxa		Data Import	Yes	v2.2.0	[Create_Terra_Table_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Create_Terra_Table_PHB:main?tab=info)
[**CZGenEpi_Prep**](../workflows/phylogenetic_construction/czgenepi_prep.md)	Prepare metadata and fasta files for easy upload to the CZ GEN EPI platform.	Monkeypox virus, SARS-CoV-2, Viral	Set-level	Phylogenetic Construction	No	v1.3.0	[CZGenEpi_Prep_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/CZGenEpi_Prep_PHB:main?tab=info)
[**Dorado_Basecalling**](../workflows/standalone/dorado_basecalling.md)	GPU-accelerated basecalling of Oxford Nanopore sequencing data	Any taxa	Sample-level	Standalone	Yes	v3.0.1	[Dorado_Basecalling_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Dorado_Basecalling_PHB:main?tab=info)
[**Fetch_SRR_Accession**](../workflows/data_import/fetch_srr_accession.md)	Provided a BioSample accession, identify any associated SRR accession(s)	Any taxa	Sample-level	Data Import	Yes	v2.3.0	[Fetch_SRR_Accession_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Fetch_SRR_Accession_PHB:main?tab=info)
[**Find_Shared_Variants**](../workflows/phylogenetic_construction/find_shared_variants.md)	Combines and reshapes variant data from Snippy_Variants to illustrate variants shared across multiple samples	Bacteria, Mycotics	Set-level	Phylogenetic Construction	Yes	v2.0.0	[Find_Shared_Variants_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Find_Shared_Variants_PHB:main?tab=info)
[**Freyja Workflow Series**](../workflows/genomic_characterization/freyja.md)	Recovers relative lineage abundances from mixed sample data and generates visualizations	SARS-CoV-2, Viral	Sample-level, Set-level	Genomic Characterization	Yes	v3.0.0	[Freyja_FASTQ_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Freyja_FASTQ_PHB:main?tab=info), [Freyja_Plot_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Freyja_Plot_PHB:main?tab=info), [Freyja_Dashboard_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Freyja_Dashboard_PHB:main?tab=info), [Freyja_Update_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Freyja_Update_PHB:main?tab=info)
[**GAMBIT_Query**](../workflows/standalone/gambit_query.md)	Taxon identification of genome assembly using GAMBIT	Bacteria, Mycotics	Sample-level	Standalone	Yes	v2.0.0	[Gambit_Query_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Gambit_Query_PHB:main?tab=info)
[**Kraken2**](../workflows/standalone/kraken2.md)	Taxa identification from reads	Any taxa	Sample-level	Standalone	Yes	v3.0.0	[Kraken2_PE_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Kraken2_PE_PHB:main?tab=info), [Kraken2_SE_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Kraken2_SE_PHB:main?tab=info), [Kraken2_ONT_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Kraken2_ONT_PHB:main?tab=info)
[**kSNP3**](../workflows/phylogenetic_construction/ksnp3.md)	SNP-based phylogenetic analysis from assemblies	Bacteria, Mycotics, Viral	Set-level	Phylogenetic Construction	Some optional features incompatible, Yes	v3.0.0	[kSNP3_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/kSNP3_PHB:main?tab=info)
[**kSNP4**](../workflows/phylogenetic_construction/ksnp4.md)	SNP-based phylogenetic analysis from assemblies	Bacteria, Mycotics, Viral	Set-level	Phylogenetic Construction	Some optional features incompatible, Yes	v3.0.0	[kSNP4_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/kSNP4_PHB:main?tab=info)
[**Lyve_SET**](../workflows/phylogenetic_construction/lyve_set.md)	Alignment of reads to a reference genome, SNP calling, curation of high quality SNPs, phylogenetic analysis	Bacteria	Set-level	Phylogenetic Construction	Yes	v2.1.0	[Lyve_SET_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Lyve_SET_PHB:main?tab=info)
[**MashTree_FASTA**](../workflows/phylogenetic_construction/mashtree_fasta.md)	Mash-distance based phylogenetic analysis from assemblies	Bacteria, Mycotics, Viral	Set-level	Phylogenetic Construction	Some optional features incompatible, Yes	v3.0.0	[MashTree_FASTA_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/MashTree_FASTA_PHB:main?tab=info)
[**Mercury_Prep_N_Batch**](../workflows/public_data_sharing/mercury_prep_n_batch.md)	Prepare metadata and sequence data for submission to NCBI and GISAID	Influenza, Monkeypox virus, SARS-CoV-2, Viral	Set-level	Public Data Sharing	No	v3.0.0	[Mercury_Prep_N_Batch_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Mercury_Prep_N_Batch_PHB:main?tab=info)
