taxon	taxon_table
influenza	panel_influenza_specimen
coronavirus	panel_coronavirus_specimen
human_immunodeficiency_virus	panel_hiv_specimen
monkeypox_virus	panel_monkeypox_specimen
human_respiratory_syncytial_virus	panel_rsv_specimen
west_nile_virus	panel_wnv_specimen
other	panel_other_specimen
h3n1	panel_influenza_specimen
h1n1	panel_influenza_specimen
h5n1	panel_influenza_specimen
h3n2	panel_influenza_specimen
h2n2	panel_influenza_specimen
mastadenovirus	panel_mastadenovirus_specimen
orthohantavirus	panel_orthohantavirus_specimen
enterovirus	panel_enterovirus_specimen
alphapapillomavirus	panel_alphapapillomavirus_specimen
hepatitis	panel_hepatitis_specimen
hepadnaviridae	panel_hepatitis_specimen
