Name	Description	Applicable Kingdom	Workflow Level	Workflow Type	Command-line Compatibility	Last Known Changes	Dockstore
[**AMR_Search**](../workflows/standalone/amr_search.md)	Perform AMR profiling on microbial assemblies mimicing Pathogenwatch	[Any taxa](../../workflows_overview/workflows_kingdom.md#any-taxa)	Sample-level	[Standalone](../../workflows_overview/workflows_type.md#standalone)	Yes	v3.0.1	[AMR_Search_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/AMR_Search_PHB:fc-amr-search-dev?tab=info)
[**Assembly_Fetch**](../workflows/data_import/assembly_fetch.md)	Download assemblies from NCBI, after optionally identifying the closest RefSeq reference genome to your own draft assembly	[Any taxa](../../workflows_overview/workflows_kingdom.md#any-taxa)	Sample-level	[Data Import](../../workflows_overview/workflows_type.md#data-import)	Yes	v3.1.0	[Assembly_Fetch_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Assembly_Fetch_PHB:main?tab=info)
[**Augur**](../workflows/phylogenetic_construction/augur.md)	Phylogenetic analysis for viral pathogens	[Viral](../../workflows_overview/workflows_kingdom.md#viral)	Sample-level, Set-level	[Phylogenetic Construction](../../workflows_overview/workflows_type.md#phylogenetic-construction)	Yes	v3.0.0	[Augur_Prep_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Augur_Prep_PHB:main?tab=info), [Augur_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Augur_PHB:main?tab=info)
[**BaseSpace_Fetch**](../workflows/data_import/basespace_fetch.md)	Import data from BaseSpace into Terra	[Any taxa](../../workflows_overview/workflows_kingdom.md#any-taxa)	Sample-level	[Data Import](../../workflows_overview/workflows_type.md#data-import)	Yes	v3.1.0	[BaseSpace_Fetch_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/BaseSpace_Fetch_PHB:main?tab=info)
[**Cauris_CladeTyper**](../workflows/standalone/cauris_cladetyper.md)	C. auris clade assignment	[Mycotics](../../workflows_overview/workflows_kingdom.md#mycotics)	Sample-level	[Standalone](../../workflows_overview/workflows_type.md#standalone)	Yes	vX.X.X	[Cauris_CladeTyper_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Cauris_CladeTyper_PHB:main?tab=info)
[**Clair3_Variants**](../workflows/phylogenetic_construction/clair3_variants.md)	ONT Variant Caller	[Any taxa](../../workflows_overview/workflows_kingdom.md#any-taxa)	Sample-level	[Phylogenetic Construction](../../workflows_overview/workflows_type.md#phylogenetic-construction)	Yes	v3.0.0	[Clair3_Variants_ONT_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Clair3_Variants_ONT_PHB:main?tab=info)
[**Concatenate_Column_Content**](../workflows/data_export/concatenate_column_content.md)	Concatenate contents of a specified Terra data table column for many samples ("entities")	[Any taxa](../../workflows_overview/workflows_kingdom.md#any-taxa)	Set-level	[Exporting Data from Terra](../../workflows_overview/workflows_type.md#exporting-data-from-terra)	Yes	v2.1.0	[Concatenate_Column_Content_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Concatenate_Column_Content_PHB:main?tab=info)
[**Concatenate_Illumina_Lanes**](../workflows/standalone/concatenate_illumina_lanes.md)	Concatenate Illumina lanes for a single sample	[Any taxa](../../workflows_overview/workflows_kingdom.md#any-taxa)	Sample-level	[Standalone](../../workflows_overview/workflows_type.md#standalone)	Yes	v2.3.0	[Concatenate_Illumina_Lanes_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Concatenate_Illumina_Lanes_PHB:main?tab=info)
[**Core_Gene_SNP**](../workflows/phylogenetic_construction/core_gene_snp.md)	Pangenome analysis	[Bacteria](../../workflows_overview/workflows_kingdom.md#bacteria)	Set-level	[Phylogenetic Construction](../../workflows_overview/workflows_type.md#phylogenetic-construction)	Some optional features incompatible, Yes	v3.0.0	[Core_Gene_SNP_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Core_Gene_SNP_PHB:main?tab=info)
[**Create_Terra_Table**](../workflows/data_import/create_terra_table.md)	Upload data to Terra and then run this workflow to have the table automatically created	[Any taxa](../../workflows_overview/workflows_kingdom.md#any-taxa)		[Data Import](../../workflows_overview/workflows_type.md#data-import)	No	v2.2.0	[Create_Terra_Table_PHB](https://dockstore.org/workflows/github.com/theiagen/public_health_bioinformatics/Create_Terra_Table_PHB:main?tab=info)
