Abiotrophia defectiva
Abyssicoccus albus
Acaryochloris marina_A
Acetatifactor intestinalis
Acetatifactor muris
Acetobacter ascendens
Acetobacter fabarum
Acetobacter ghanensis
Acetobacter indonesiensis
Acetobacter lambici
Acetobacter lovaniensis
Acetobacter malorum
Acetobacter okinawensis
Acetobacter orientalis
Acetobacter persici
Acetobacter syzygii
Acetobacter thailandicus
Acetobacterium bakii
Acetobacterium dehalogenans
Acetobacterium paludosum
Acetobacterium tundrae
Acetobacterium wieringae
Acetomicrobium flavidum
Acholeplasma hippikon
Acholeplasma laidlawii
Acholeplasma oculi
Acidaminococcus fermentans
Acidibacillus ferrooxidans
Acidiferrobacter thiooxydans
Acidimangrovimonas indica
Acidiphilium rubrum
Acidipropionibacterium jensenii
Acidithiobacillus ferriphilus
Acidocella facilis
Acidomonas methanolica
Acidovorax carolinensis
Acidovorax defluvii
Acidovorax delafieldii
Acidovorax facilis
Acidovorax kalamii
Acidovorax soli
Acidovorax temperans
Acidovorax_C caeni
Acinetobacter albensis
Acinetobacter baretiae
Acinetobacter bohemicus
Acinetobacter chinensis
Acinetobacter colistiniresistens
Acinetobacter courvalinii
Acinetobacter defluvii
Acinetobacter dispersus
Acinetobacter gandensis
Acinetobacter halotolerans
Acinetobacter harbinensis
Acinetobacter kookii
Acinetobacter kyonggiensis
Acinetobacter lanii
Acinetobacter modestus
Acinetobacter nectaris
Acinetobacter pecorum
Acinetobacter piscicola_A
Acinetobacter pollinis
Acinetobacter portensis
Acinetobacter proteolyticus
Acinetobacter pseudolwoffii
Acinetobacter qingfengensis
Acinetobacter shaoyimingii
Acinetobacter terrae
Acinetobacter terrestris
Acinetobacter variabilis
Acinetobacter vivianii
Acinetobacter wanghuae
Acinetobacter wuhouensis
Actibacterium_A naphthalenivorans
Actibacterium_B pelagium
Actinoalloteichus fjordicus
Actinoalloteichus hoggarensis
Actinobacillus equuli
Actinobacillus_A porcitonsillarum
Actinobacillus_B seminis
Actinobaculum suis
Actinocatenispora sera
Actinokineospora alba
Actinokineospora fastidiosa
Actinokineospora spheciospongiae
Actinokineospora terrae
Actinomadura_B viridilutea
Actinomyces bovis
Actinomyces denticolens
Actinomyces gaoshouyii
Actinomyces glycerinitolerans
Actinomyces howellii
Actinomyces lilanjuaniae
Actinomyces marmotae
Actinomyces naeslundii
Actinomyces qiguomingii
Actinomyces ruminicola
Actinomyces viscosus
Actinomyces wuliandei
Actinoplanes abujensis
Actinoplanes brasiliensis
Actinoplanes campanulatus
Actinoplanes derwentensis
Actinoplanes digitatis
Actinoplanes ferrugineus_A
Actinoplanes ianthinogenes
Actinoplanes italicus
Actinoplanes lutulentus
Actinoplanes octamycinicus
Actinoplanes palleronii
Actinoplanes philippinensis
Actinoplanes regularis
Actinoplanes teichomyceticus
Actinoplanes utahensis
Actinoplanes xinjiangensis
Actinopolymorpha cephalotaxi
Actinopolyspora erythraea
Actinopolyspora mortivallis
Actinopolyspora saharensis
Actinosynnema carneum
Actinosynnema coeruleofuscum
Actinosynnema texasense
Acutalibacter muris
Acuticoccus sediminis
Acuticoccus yangtzensis
Adlercreutzia caecimuris
Adlercreutzia equolifaciens
Adlercreutzia muris
Advenella alkanexedens
Advenella incenata
Aequoribacter fuscus
Aequorivita antarctica
Aequorivita lipolytica
Aequorivita sinensis
Aequorivita viscosa
Aeribacillus composti
Aerococcus sanguinicola
Aeromicrobium chenweiae
Aeromicrobium fastidiosum
Aeromicrobium piscarium
Aeromicrobium yanjiei
Aerophototrophica crusticola
Aestuariivivens marinum
Aestuariivivens sediminicola
Aestuariivivens sediminis
Afifella marina
Agarivorans albus
Agarivorans gilvus
Agathobacter faecis
Agathobacter rectalis
Agathobacter ruminis
Agathobaculum butyriciproducens
Agathobaculum butyriciproducens subspecies 1
Aggregatibacter segnis
Agreia bicolorata
Agreia pratensis
