NCBI TaxID	Species Name	Species Diameter	Rank	Number of Genomes
1450171	Aaosphaeria arxii	0.561	species	2
5341	Agaricus bisporus	0.5163	species	8
5599	Alternaria alternata	0.3961	species	83
156630	Alternaria arborescens	0.3151	species	7
119953	Alternaria atra	0.1308	species	2
1187904	Alternaria burnsii	0.4142	species	2
1187941	Alternaria rosae	0.4421	species	2
5101	Amorphotheca resinae	0.4418	species	3
327061	Annulohypoxylon truncatum	0.4156	species	2
105984	Apiotrichum porosum	0.3835	species	2
462254	Aplosporella prunicola	0.0003	species	2
5454	Ascochyta rabiei	0.0573	species	3
487661	Aspergillus aculeatinus	0.0517	species	2
209559	Aspergillus alliaceus	0.2451	species	2
182096	Aspergillus chevalieri	0.1187	species	4
5057	Aspergillus clavatus	0.0592	species	2
36630	Aspergillus fischeri	0.1787	species	5
746128	Aspergillus fumigatus	0.2135	species	320
34381	Aspergillus japonicus	0.2955	species	3
293939	Aspergillus lentulus	0.2747	species	13
1069201	Aspergillus luchuensis	0.3719	species	13
162425	Aspergillus nidulans	0.0852	species	5
138278	Aspergillus ochraceoroseus	0.0203	species	2
1506151	Aspergillus pseudonomiae	0.104	species	2
396024	Aspergillus ruber	0.0993	species	3
75750	Aspergillus sydowii	0.3403	species	3
1220188	Aspergillus tanneri	0.0225	species	3
33178	Aspergillus terreus	0.7059	species	14
5068	Aspergillus tubingensis	0.3915	species	9
91492	Aspergillus udagawae	0.3645	species	6
446911	Aspergillus uvarum	0.156	species	3
75553	Aspergillus viridinutans	0.0269	species	2
5066	Aspergillus wentii	0.04	species	2
5580	Aureobasidium pullulans	0.6686	species	71
1042127	Aureobasidium subglaciale	0.73	species	8
45609	Babjeviella inositovora	0.0512	species	2
109871	Batrachochytrium dendrobatidis	0.0766	species	3
176275	Beauveria bassiana	0.5526	species	25
5016	Bipolaris maydis	0.0688	species	3
101162	Bipolaris oryzae	0.0647	species	2
45130	Bipolaris sorokiniana	0.1386	species	8
5017	Bipolaris zeicola	0.0596	species	3
5039	Blastomyces dermatitidis	0.2468	species	4
40559	Botrytis cinerea	0.2861	species	37
